Employee ID,User ID,Employee Name,Email,Phone,Gender,Company,Designation,Work Location
CC3456YG1,1,employee name: Asha,asha@gmail.com,9832323232,Female,Microsoft,Software Developer,DLL: Bangalore
CC3456YG2,2,employee name: Ravi,ravi@gmail.com,9012234354,Male,Infosys,Software Engineer,CHN: Chennai
CC3456YG3,3,employee name: Meena,meena@gmail.com,9867347643,Female,TCS,Data Analyst,DLL: Bengaluru
CC3456YG4,4,employee name: Karthik,karthik@gmail.com,6345857449,Male,Wipro,Project Manager,HYD: Hyderabad
CC3456YG5,5,employee name: Divya,divya@gmail.com,9034653426,Female,Cognizant,UI/UX Designer,PUN: Pune
CC3456YG6,6,employee name: Arjun,arjun@gmail.com,9723563485,Male,IBM,DevOps Engineer,MUM: Mumbai
CC3456YG7,7,employee name: Sneha,sneha@gmail.com,9723563485,Female,Accenture,ML Engineer,GUR: Gurgaon
CC3456YG8,8,employee name: Vikram,vikram@gmail.com,9642368456,Male,HCL,Web Developer,NOI: Noida
CC3456YG9,9,employee name: Priya,priya@gmail.com,9247167348,Female,Zoho,QA Tester,CBE: Coimbatore
CC3456YG10,10,employee name: Sanjay,sanjay@gmail.com,9138942496,Male,Amazon,Cloud Architect,CHN: Chennai
CC3456YG11,1,employee name: Abi,abi@gmail.com,9832323231,Female,,,
CC3456YG12,2,employee name: Ragav,ragav@gmail.com,9012234350,Male,,,
CC3456YG13,3,employee name: Manimekalai,mani@gmail.com,9867347645,Female,,,
CC3456YG14,4,employee name: Kathir,kathir@gmail.com,6345857445,Male,,,
CC3456YG15,5,employee name: Malar,malar@gmail.com,9034653423,Female,,,
